M,N,K,oneDNN,Triton
256.000000,256.000000,256.000000,0.378684,0.038529
384.000000,384.000000,384.000000,1.232840,0.046305
512.000000,512.000000,512.000000,2.796436,0.052811
640.000000,640.000000,640.000000,5.207883,0.059359
768.000000,768.000000,768.000000,7.746773,0.059377
896.000000,896.000000,896.000000,12.979721,0.057799
1024.000000,1024.000000,1024.000000,18.105113,0.064871
1152.000000,1152.000000,1152.000000,23.705267,0.066246
1280.000000,1280.000000,1280.000000,27.972843,0.082483
1408.000000,1408.000000,1408.000000,33.206944,0.066491
1536.000000,1536.000000,1536.000000,35.375621,0.078502
1664.000000,1664.000000,1664.000000,45.891323,0.065477
1792.000000,1792.000000,1792.000000,49.250155,0.075759
1920.000000,1920.000000,1920.000000,57.214473,0.064439
2048.000000,2048.000000,2048.000000,65.643175,0.073259
2176.000000,2176.000000,2176.000000,65.533499,0.063544
2304.000000,2304.000000,2304.000000,66.971430,0.070849
2432.000000,2432.000000,2432.000000,75.512841,0.067030
2560.000000,2560.000000,2560.000000,71.905230,0.074540
2688.000000,2688.000000,2688.000000,76.685085,0.067096
2816.000000,2816.000000,2816.000000,83.758963,0.073473
2944.000000,2944.000000,2944.000000,62.760534,0.067807
3072.000000,3072.000000,3072.000000,69.265722,0.073651
3200.000000,3200.000000,3200.000000,67.342116,0.068585
3328.000000,3328.000000,3328.000000,65.837308,0.074187
3456.000000,3456.000000,3456.000000,71.117395,0.068708
3584.000000,3584.000000,3584.000000,70.141086,0.073766
3712.000000,3712.000000,3712.000000,68.403256,0.069298
3840.000000,3840.000000,3840.000000,72.576788,0.074091
3968.000000,3968.000000,3968.000000,72.364419,0.068943
4096.000000,4096.000000,4096.000000,76.893399,0.073631
